Organization/Person Name,Contact Email
Planet A Ventures,startups@planet-a.com
Founders,stefano@founders.as
TS Ventures,stephan@tsventures.io
Argo Blockchain,support@argoblockchain.com
Bitpanda,support@bitpanda.com
CitizenX,support@citizenx.com
Finoa,support@finoa.io
Holvi,support@holvi.com
InnMind,support@innmind.com
Innovate UK,support@innovateuk.ukri.org
Luno,support@luno.com
NatWest,support@natwestmarkets.com
Seedrs,support@seedrs.com
Ukrainian Startup Fund,support@usf.com.ua
Arweave,team@arweave.org
Club Italia Investimenti 2,team@cii2.com
CONDA Crowdinvesting Österreich,team@conda.at
DEPO Ventures,team@depoventures.cz
Firstminute Capital,team@firstminute.capital
HackCapital,team@hackcapital.co
KR1,team@KR1.io
Phystech Ventures,team@phystech.vc
Shilling VC,team@shilling.vc
Criteria Venture Tech,tech@criteria.com
Expansion Ventures,ted@expansion-vc.eu
Tera Ventures,tera@tera.vc
Timechain,timechain@concentric.vc
Lifeline Ventures,timo@lifelineventures.com
Trind Ventures,trind@trind.vc
TT Ventures,ttventures@turktelekom.com
Unilever Ventures,uv.investments@unilever.com
Elkstone Capital Partners,venture@elkstoneprivate.com
SGH CAPITAL,venture@sghcapital.com
TRUMPF Venture,venture@trumpf.com
Blackfinch Ventures,ventures@blackfinch.com
CHECK24 Ventures,ventures@check24.de
DOMiNO Ventures,ventures@dominovc.com
Praetura Ventures,ventures@praetura.co.uk
Oktogon Ventures,vera@oktogon.vc
VERSO Capital,versoenquiries@gmail.com
Vaekstfonden,vf@vf.dk
Vorwerk Ventures,vorwerk-ventures@vorwerkventures.com
Wayra,wayra@wayra.org
The Family,welcome@thefamily.co
Beyond Capital,will@joinbeyond.co
Aave,wow@aave.com
